got_pizza,karma,age,raop_age,pop_request,activity,total_posts,raop_posts,prev_raop_post,words,poor,student,grateful,score
1,1721,469.766516204,0,2,39,27,0,First Post,80,Poor not in post,No student,Grateful not in post,-5
0,2,0.00453703703704,0.00453703703704,6,1,0,0,First Post,55,Poor not in post,No student,Grateful not in post,3
0,0,0,0,3,0,0,0,First Post,216,Poor not in post,No student,Grateful not in post,0
0,723,395.581875,35.621412037,13,20,22,0,First Post,6,Poor not in post,No student,Grateful not in post,0
1,0,0,0,4,0,0,0,First Post,121,Poor not in post,No student,Grateful in post,1
1,244,252.99599537,0.0655787037037,1,6,2,0,First Post,49,Poor not in post,No student,Grateful not in post,1
0,0,0,0,4,0,0,0,First Post,52,Poor not in post,No student,Grateful not in post,-1
0,5,0.524525462963,0,10,3,0,0,First Post,67,Poor not in post,No student,Grateful not in post,-2
1,317,336.150694444,83.9357986111,4,36,14,0,First Post,NA,Poor not in post,No student,Grateful not in post,0
0,213,545.205983796,0,11,15,1,0,First Post,48,Poor not in post,No student,Grateful not in post,4
0,0,0,0,6,0,0,0,First Post,93,Poor not in post,No student,Grateful not in post,2
1,0,0,0,2,0,0,0,First Post,NA,Poor not in post,No student,Grateful not in post,0
0,1987,814.818090278,0,4,30,30,0,First Post,71,Poor not in post,Student,Grateful not in post,7
0,97,714.262384259,0,4,8,1,0,First Post,147,Poor not in post,No student,Grateful not in post,0
0,0,0,0,2,0,0,0,First Post,29,Poor not in post,No student,Grateful not in post,6
1,2,25.2683564815,0,4,1,0,0,First Post,288,Poor not in post,Student,Grateful not in post,2
0,761,786.402581019,0,2,42,96,0,First Post,23,Poor not in post,No student,Grateful not in post,7
0,717,353.643587963,0,3,19,68,0,First Post,19,Poor not in post,No student,Grateful not in post,3
0,0,0,0,11,0,0,0,First Post,82,Poor not in post,No student,Grateful not in post,3
0,232,217.11337963,0,2,12,14,0,First Post,74,Poor not in post,No student,Grateful not in post,1
1,4338,903.053993056,0,9,69,153,0,First Post,20,Poor not in post,No student,Grateful not in post,-5
0,3,0,0,16,1,0,0,First Post,139,Poor not in post,No student,Grateful not in post,9
0,1,260.701018519,0,6,3,0,0,First Post,50,Poor not in post,No student,Grateful not in post,2
0,1974,834.96431713,0,6,34,34,0,First Post,28,Poor not in post,No student,Grateful not in post,1
1,11,36.4491435185,0,8,3,0,0,First Post,64,Poor in post,No student,Grateful not in post,5
0,15,65.2662615741,0,1,3,1,0,First Post,40,Poor not in post,No student,Grateful not in post,1
0,1456,800.128599537,0,8,49,20,0,First Post,237,Poor not in post,No student,Grateful not in post,-3
0,13,107.326712963,0,2,5,0,0,First Post,198,Poor not in post,No student,Grateful not in post,3
0,1,84.6552083333,0,7,1,1,0,First Post,51,Poor not in post,No student,Grateful not in post,2
0,0,0,0,3,0,0,0,First Post,48,Poor not in post,No student,Grateful not in post,2
1,25,491.088263889,441.901608796,1,5,1,1,Posted Before,202,Poor not in post,No student,Grateful not in post,2
1,4,0,0,6,1,0,0,First Post,202,Poor not in post,No student,Grateful not in post,10
0,4895,1381.96729167,0,3,59,39,0,First Post,94,Poor not in post,No student,Grateful not in post,-4
0,931,524.297708333,27.5559837963,5,6,7,1,Posted Before,42,Poor not in post,No student,Grateful not in post,-2
0,0,0,0,3,0,0,0,First Post,67,Poor not in post,No student,Grateful not in post,1
0,12,25.9897453704,0,3,5,0,0,First Post,104,Poor not in post,No student,Grateful not in post,10
1,1726,200.490335648,0,3,42,26,0,First Post,39,Poor not in post,No student,Grateful not in post,0
1,0,33.9066550926,0,4,1,0,0,First Post,73,Poor not in post,No student,Grateful not in post,1
1,928,166.753726852,0,1,36,2,0,First Post,154,Poor not in post,No student,Grateful not in post,-3
1,17,0.0190509259259,0,4,1,1,0,First Post,51,Poor not in post,No student,Grateful not in post,7
0,208,457.162303241,0,5,9,2,0,First Post,16,Poor not in post,No student,Grateful not in post,0
0,18636,771.067719907,0,2,78,211,0,First Post,16,Poor not in post,No student,Grateful not in post,0
1,33,493.39068287,0,3,5,5,0,First Post,144,Poor not in post,No student,Grateful not in post,0
1,957,172.066446759,50.7144675926,2,31,3,0,First Post,36,Poor not in post,No student,Grateful not in post,3
0,0,0,0,13,0,0,0,First Post,74,Poor not in post,No student,Grateful not in post,0
0,4781,493.844525463,0.0165393518519,1,87,23,0,First Post,95,Poor not in post,No student,Grateful not in post,2
0,4082,627.069131944,0,3,103,104,0,First Post,105,Poor not in post,No student,Grateful not in post,-2
0,-4,181.538206019,0,3,3,2,0,First Post,16,Poor not in post,No student,Grateful not in post,1
0,0,0,0,8,0,0,0,First Post,23,Poor not in post,No student,Grateful not in post,2
0,365,518.004641204,0,3,40,17,0,First Post,121,Poor not in post,No student,Grateful not in post,1
0,119,52.0971180556,0,3,5,7,0,First Post,46,Poor not in post,No student,Grateful not in post,3
0,119,211.782881944,0,2,10,17,0,First Post,23,Poor not in post,No student,Grateful not in post,0
1,32,57.2057523148,11.0428125,4,5,5,1,Posted Before,20,Poor not in post,No student,Grateful not in post,5
1,359,501.530046296,28.7796527778,10,25,0,0,First Post,43,Poor not in post,No student,Grateful not in post,0
1,0,0,0,7,0,0,0,First Post,49,Poor not in post,No student,Grateful not in post,5
0,4362,903.910902778,0,2,39,40,0,First Post,68,Poor not in post,Student,Grateful not in post,-1
1,26,53.5887615741,0,5,7,0,0,First Post,315,Poor not in post,Student,Grateful not in post,22
0,0,0,0,3,0,0,0,First Post,81,Poor not in post,No student,Grateful not in post,-6
0,0,0,0,17,0,0,0,First Post,124,Poor not in post,No student,Grateful not in post,2
0,45,168.540347222,0,1,7,2,0,First Post,31,Poor not in post,No student,Grateful not in post,4
1,9,3.66092592593,0,2,1,1,0,First Post,69,Poor not in post,No student,Grateful not in post,0
0,840,170.807118056,0,2,33,20,0,First Post,47,Poor not in post,No student,Grateful not in post,-2
0,1777,1036.07334491,0,2,31,16,0,First Post,160,Poor not in post,No student,Grateful not in post,9
0,5258,184.797384259,0,8,32,19,0,First Post,74,Poor not in post,No student,Grateful not in post,4
1,504,172.795659722,10.9761458333,1,25,13,0,First Post,26,Poor not in post,No student,Grateful not in post,0
0,117,137.700590278,0,2,10,7,0,First Post,77,Poor not in post,No student,Grateful not in post,1
1,29,331.787986111,0,5,10,4,0,First Post,131,Poor not in post,No student,Grateful not in post,2
1,258,118.827592593,0,4,28,17,0,First Post,554,Poor not in post,No student,Grateful not in post,-7
1,364,42.0838657407,0,16,16,10,0,First Post,49,Poor not in post,No student,Grateful not in post,2
0,2795,482.843460648,0,3,18,31,0,First Post,75,Poor not in post,No student,Grateful not in post,8
0,0,0,0,3,0,0,0,First Post,30,Poor not in post,No student,Grateful not in post,1
0,17,42.7880324074,0,17,4,3,0,First Post,36,Poor not in post,No student,Grateful not in post,0
0,0,0,0,9,0,0,0,First Post,64,Poor not in post,Student,Grateful not in post,-2
0,854,202.696608796,0,2,5,14,0,First Post,106,Poor not in post,No student,Grateful not in post,4
0,0,0,0,3,0,0,0,First Post,35,Poor not in post,Student,Grateful not in post,-4
0,0,0,0,1,0,0,0,First Post,84,Poor not in post,No student,Grateful not in post,11
1,1873,276.079375,0,9,18,35,0,First Post,48,Poor not in post,No student,Grateful not in post,-3
0,1025,71.8404398148,0,2,15,23,0,First Post,23,Poor not in post,No student,Grateful not in post,0
0,-3,5.82016203704,0,22,1,1,0,First Post,41,Poor not in post,No student,Grateful not in post,1
0,2,0.287893518519,0,3,2,1,0,First Post,46,Poor in post,No student,Grateful not in post,-11
1,7069,251.92837963,0,5,23,31,0,First Post,132,Poor in post,No student,Grateful not in post,0
0,612,516.900671296,0,7,43,26,0,First Post,77,Poor not in post,No student,Grateful not in post,-8
0,40,29.5243634259,0,1,6,6,0,First Post,48,Poor not in post,No student,Grateful not in post,-1
0,0,0,0,4,0,0,0,First Post,87,Poor not in post,No student,Grateful not in post,7
0,902,112.976828704,0,5,24,24,0,First Post,31,Poor not in post,No student,Grateful not in post,-1
1,1780,43.5144212963,0,5,3,32,0,First Post,57,Poor not in post,No student,Grateful not in post,0
0,749,1297.81586806,117.954212963,2,32,29,0,First Post,94,Poor not in post,No student,Grateful not in post,8
0,546,493.719571759,0,2,20,11,0,First Post,64,Poor in post,No student,Grateful not in post,-2
1,127,288.026944444,0,2,4,10,0,First Post,27,Poor not in post,No student,Grateful not in post,2
0,-3,88.0803819444,88.0803819444,0,1,0,0,First Post,30,Poor not in post,No student,Grateful not in post,0
1,156,226.743090278,0,2,3,15,0,First Post,122,Poor not in post,No student,Grateful not in post,10
0,1818,1123.02018519,0,3,47,173,0,First Post,NA,Poor not in post,No student,Grateful not in post,0
0,7,12.6462268519,0,1,1,1,0,First Post,58,Poor not in post,No student,Grateful not in post,2
0,133,18.2129976852,0,5,8,0,0,First Post,25,Poor not in post,No student,Grateful not in post,5
0,416,264.147372685,0,3,26,29,0,First Post,21,Poor not in post,No student,Grateful not in post,0
0,1163,537.695243056,0,45,44,44,0,First Post,5,Poor not in post,No student,Grateful not in post,0
0,1217,247.593611111,0,4,30,41,0,First Post,NA,Poor not in post,No student,Grateful not in post,0
1,146,65.4327199074,0,5,14,2,0,First Post,147,Poor not in post,No student,Grateful not in post,2
0,410,558.961759259,0,3,24,37,0,First Post,23,Poor not in post,No student,Grateful not in post,2
0,0,0,0,4,0,0,0,First Post,96,Poor not in post,No student,Grateful not in post,-6
0,1183,35.0232291667,0,7,18,21,0,First Post,28,Poor not in post,No student,Grateful not in post,0
0,1,0,0,2,1,0,0,First Post,57,Poor not in post,No student,Grateful not in post,-1
0,266,540.794884259,68.0880208333,6,24,27,0,First Post,99,Poor not in post,No student,Grateful not in post,-7
0,5053,219.970648148,0,6,21,16,0,First Post,41,Poor not in post,No student,Grateful not in post,4
0,0,0,0,3,0,0,0,First Post,99,Poor not in post,No student,Grateful not in post,0
0,0,0,0,3,0,0,0,First Post,9,Poor not in post,No student,Grateful not in post,0
0,0,0,0,18,0,0,0,First Post,15,Poor not in post,No student,Grateful not in post,3
0,0,0,0,1,0,0,0,First Post,62,Poor not in post,No student,Grateful not in post,0
0,0,0,0,3,0,0,0,First Post,70,Poor not in post,No student,Grateful not in post,0
0,0,0,0,2,0,0,0,First Post,18,Poor not in post,No student,Grateful not in post,0
0,899,258.781342593,0,4,5,2,0,First Post,52,Poor not in post,No student,Grateful not in post,-1
1,2,3.15283564815,0,5,2,0,0,First Post,54,Poor not in post,No student,Grateful not in post,1
1,0,0,0,6,0,0,0,First Post,51,Poor not in post,No student,Grateful not in post,0
1,0,0,0,2,0,0,0,First Post,158,Poor not in post,No student,Grateful not in post,0
0,4806,541.892303241,0,3,58,187,0,First Post,4,Poor not in post,No student,Grateful not in post,0
0,48,436.362256944,0,2,6,6,0,First Post,5,Poor not in post,No student,Grateful not in post,NA
1,95,546.925358796,0,5,6,5,0,First Post,75,Poor in post,No student,Grateful not in post,-3
0,26,554.032314815,0,10,4,5,0,First Post,119,Poor in post,Student,Grateful not in post,3
0,644,405.074201389,183.105868056,4,16,7,1,Posted Before,69,Poor not in post,No student,Grateful not in post,0
0,49,137.529583333,0,2,3,1,0,First Post,26,Poor not in post,No student,Grateful not in post,3
0,184,102.620196759,0,3,9,14,0,First Post,18,Poor not in post,No student,Grateful not in post,-5
1,2846,776.793402778,617.229907407,3,84,154,0,First Post,59,Poor not in post,No student,Grateful not in post,-2
0,831,624.698946759,0,2,17,24,0,First Post,42,Poor not in post,Student,Grateful not in post,0
0,857,90.0777662037,0,4,11,6,0,First Post,120,Poor not in post,No student,Grateful not in post,3
0,17,55.8076041667,0,11,1,1,0,First Post,48,Poor not in post,No student,Grateful not in post,1
1,0,207.729699074,207.729699074,6,1,0,0,First Post,41,Poor not in post,No student,Grateful not in post,3
0,114,211.126099537,0.118090277778,4,16,7,0,First Post,6,Poor not in post,No student,Grateful not in post,0
0,6168,653.573668981,0,9,53,213,0,First Post,36,Poor not in post,No student,Grateful not in post,5
1,160,265.581574074,0,2,23,13,0,First Post,89,Poor not in post,No student,Grateful not in post,-1
0,0,0,0,9,0,0,0,First Post,51,Poor not in post,No student,Grateful not in post,2
0,5165,150.980092593,0,6,27,66,0,First Post,30,Poor not in post,No student,Grateful not in post,5
0,1153,153.249560185,0,6,15,34,0,First Post,87,Poor not in post,No student,Grateful not in post,7
0,2968,344.683368056,0,3,72,34,0,First Post,87,Poor not in post,No student,Grateful not in post,-1
1,16,220.805810185,0,5,8,12,0,First Post,49,Poor not in post,No student,Grateful not in post,6
0,360,382.044270833,182.945949074,4,16,20,0,First Post,21,Poor not in post,No student,Grateful not in post,3
1,103,60.1621412037,0,2,14,3,0,First Post,71,Poor not in post,No student,Grateful not in post,0
0,1980,486.376064815,227.365277778,4,59,58,0,First Post,21,Poor not in post,No student,Grateful not in post,0
0,24,27.1524537037,0,3,2,1,0,First Post,8,Poor not in post,No student,Grateful not in post,0
0,148,114.451979167,0,4,8,2,0,First Post,64,Poor not in post,No student,Grateful not in post,-2
0,1274,882.498622685,9.9487037037,1,27,76,0,First Post,38,Poor not in post,No student,Grateful not in post,0
0,390,392.753472222,6.25e-4,1,23,30,0,First Post,34,Poor not in post,No student,Grateful not in post,-2
0,36,89.8741087963,54.6203587963,4,4,1,0,First Post,25,Poor not in post,No student,Grateful not in post,-1
0,4989,302.752141204,0,3,23,16,0,First Post,49,Poor not in post,No student,Grateful not in post,2
1,1267,990.687511574,0,15,48,21,0,First Post,103,Poor not in post,No student,Grateful not in post,-5
0,373,875.945983796,0,2,32,77,0,First Post,16,Poor in post,No student,Grateful not in post,0
0,842,36.2557986111,0,1,10,42,0,First Post,66,Poor not in post,No student,Grateful not in post,-3
0,936,174.95255787,0,16,31,27,0,First Post,88,Poor not in post,No student,Grateful not in post,-2
0,4221,524.46375,0,2,51,186,0,First Post,258,Poor not in post,Student,Grateful not in post,-3
0,600,177.535069444,0,8,20,7,0,First Post,111,Poor not in post,Student,Grateful not in post,0
0,1769,207.801851852,0,2,15,34,0,First Post,93,Poor not in post,No student,Grateful not in post,3
0,24,1.9604629629600001,1.9604629629600001,3,2,0,0,First Post,108,Poor not in post,No student,Grateful not in post,9
1,2113,63.1421064815,31.8939583333,3,35,14,0,First Post,73,Poor not in post,No student,Grateful not in post,6
1,4,11.4718287037,0,9,1,0,0,First Post,54,Poor not in post,No student,Grateful not in post,0
0,2964,593.185196759,0,22,34,25,0,First Post,NA,Poor not in post,No student,Grateful not in post,0
0,1379,248.976261574,0,1,12,0,0,First Post,7,Poor not in post,No student,Grateful not in post,0
0,5,136.540231481,0,15,2,0,0,First Post,153,Poor not in post,No student,Grateful not in post,3
1,217,53.8049421296,0,9,9,1,0,First Post,157,Poor not in post,No student,Grateful not in post,7
0,960,486.0096875,0,7,13,7,0,First Post,73,Poor not in post,Student,Grateful not in post,0
0,20,160.38943287,0,2,4,1,0,First Post,13,Poor not in post,No student,Grateful not in post,2
1,8446,464.798298611,0,4,75,143,0,First Post,86,Poor not in post,No student,Grateful not in post,1
1,251,82.2296875,0,4,32,7,0,First Post,55,Poor not in post,No student,Grateful not in post,0
1,117,179.365347222,0,4,12,2,0,First Post,22,Poor not in post,No student,Grateful not in post,6
0,860,212.910740741,0,4,38,8,0,First Post,72,Poor not in post,No student,Grateful not in post,-1
0,1902,209.106134259,0,2,1,1,0,First Post,25,Poor not in post,No student,Grateful not in post,0
0,26,104.135868056,0,6,8,9,0,First Post,48,Poor not in post,No student,Grateful not in post,0
0,79,81.6490046296,0,1,4,2,0,First Post,22,Poor not in post,No student,Grateful not in post,2
0,1070,187.409305556,144.680960648,6,33,29,1,Posted Before,116,Poor not in post,No student,Grateful not in post,16
0,0,0,0,2,0,0,0,First Post,54,Poor not in post,No student,Grateful not in post,2
1,1023,449.365868056,0,8,26,11,0,First Post,35,Poor not in post,No student,Grateful not in post,-1
0,170,61.6728009259,0,2,22,10,0,First Post,23,Poor not in post,No student,Grateful not in post,0
0,1469,243.437395833,0,10,33,38,0,First Post,58,Poor not in post,Student,Grateful not in post,-1
1,369,481.32494213,0,8,10,11,0,First Post,55,Poor not in post,Student,Grateful not in post,3
0,115,255.72744212999999,0,5,24,1,0,First Post,3,Poor not in post,No student,Grateful not in post,3
0,262,215.634247685,70.7101157407,1,23,5,0,First Post,30,Poor not in post,No student,Grateful not in post,0
1,75,67.808125,0,5,9,1,0,First Post,112,Poor not in post,No student,Grateful not in post,-4
0,0,0,0,2,0,0,0,First Post,220,Poor not in post,No student,Grateful not in post,-5
1,1052,149.724733796,64.972349537,2,34,15,1,Posted Before,27,Poor not in post,No student,Grateful not in post,4
0,0,0,0,3,0,0,0,First Post,100,Poor not in post,No student,Grateful not in post,7
0,4,51.2621990741,0,6,3,2,0,First Post,62,Poor not in post,No student,Grateful not in post,1
0,423,88.6597337963,0,7,12,23,0,First Post,74,Poor not in post,No student,Grateful not in post,5
0,13,43.1196180556,0,3,3,1,0,First Post,95,Poor not in post,No student,Grateful not in post,2
0,421,763.524212963,0,5,15,28,0,First Post,64,Poor not in post,No student,Grateful not in post,-2
1,265,753.833634259,0,4,10,2,0,First Post,98,Poor not in post,No student,Grateful not in post,5
1,11,66.1585648148,56.0833680556,4,4,2,0,First Post,10,Poor not in post,No student,Grateful not in post,2
0,0,0,0,7,0,0,0,First Post,28,Poor not in post,No student,Grateful not in post,0
0,1383,393.770162037,0,11,38,55,0,First Post,27,Poor not in post,No student,Grateful not in post,3
1,440,100.071724537,0,3,21,7,0,First Post,154,Poor not in post,No student,Grateful not in post,2
0,0,0,0,8,0,0,0,First Post,223,Poor not in post,No student,Grateful not in post,-4
1,668,404.469189815,0,2,30,5,0,First Post,58,Poor not in post,No student,Grateful not in post,5
0,14,145.755451389,0,4,3,1,0,First Post,27,Poor not in post,No student,Grateful not in post,3
1,1044,753.715509259,477.252858796,1,36,57,2,Posted Before,151,Poor not in post,No student,Grateful not in post,-3
0,1776,396.789861111,0,2,28,15,0,First Post,55,Poor not in post,No student,Grateful not in post,-4
0,3817,277.186793981,208.087835648,3,235,181,0,First Post,54,Poor not in post,No student,Grateful not in post,-3
1,33,9.75945601852,0,10,9,1,0,First Post,172,Poor not in post,No student,Grateful not in post,8
0,128,134.344953704,0,5,6,3,0,First Post,17,Poor not in post,No student,Grateful not in post,0
1,2403,284.755289352,0,3,15,1,0,First Post,50,Poor not in post,No student,Grateful not in post,2
1,304,561.685717593,0,9,20,7,0,First Post,111,Poor not in post,No student,Grateful not in post,-1
0,4457,568.534837963,0,6,45,17,0,First Post,20,Poor in post,No student,Grateful not in post,-4
0,29,1.29055555556,1.29055555556,3,6,6,0,First Post,89,Poor not in post,No student,Grateful not in post,-8
0,492,390.053171296,0,3,39,43,0,First Post,6,Poor not in post,No student,Grateful not in post,0
0,6702,504.711516204,0,3,101,235,0,First Post,48,Poor not in post,No student,Grateful not in post,0
0,1068,448.226747685,17.094837963,1,48,11,1,Posted Before,15,Poor not in post,No student,Grateful not in post,-2
0,480,445.511412037,0,2,25,48,0,First Post,67,Poor not in post,No student,Grateful not in post,2
0,979,513.645590278,324.571319444,11,66,18,0,First Post,22,Poor not in post,No student,Grateful not in post,2
0,96,343.349305556,0,1,21,7,0,First Post,62,Poor not in post,No student,Grateful not in post,6
0,0,0,0,5,0,0,0,First Post,47,Poor not in post,No student,Grateful not in post,4
0,0,0,0,8,0,0,0,First Post,86,Poor not in post,No student,Grateful not in post,0
0,1074,409.806643519,0,4,13,21,0,First Post,123,Poor not in post,No student,Grateful not in post,9
0,139,566.023981481,0,2,6,6,0,First Post,40,Poor not in post,No student,Grateful not in post,-2
0,2325,269.007326389,0,4,65,50,0,First Post,7,Poor not in post,No student,Grateful not in post,0
1,569,200.768206019,0,6,25,64,0,First Post,245,Poor not in post,Student,Grateful not in post,2
1,512,254.42599537,0,7,21,11,0,First Post,824,Poor not in post,No student,Grateful not in post,16
0,0,0,0,5,0,0,0,First Post,53,Poor not in post,No student,Grateful not in post,3
0,-53,205.217824074,0,2,7,4,0,First Post,11,Poor not in post,No student,Grateful not in post,2
0,532,308.053125,1.0534375,8,22,9,0,First Post,130,Poor not in post,No student,Grateful not in post,-3
1,0,0,0,5,0,0,0,First Post,161,Poor not in post,No student,Grateful not in post,-9
0,6,159.937974537,0,2,3,1,0,First Post,26,Poor not in post,No student,Grateful not in post,-2
1,2465,156.469490741,0,7,28,78,0,First Post,97,Poor not in post,No student,Grateful not in post,6
0,1,0,0,5,1,0,0,First Post,38,Poor not in post,No student,Grateful not in post,2
0,291,517.82181713,0,1,17,11,0,First Post,131,Poor not in post,No student,Grateful not in post,4
0,329,3.9527662037,0,3,19,4,0,First Post,33,Poor not in post,No student,Grateful not in post,-4
1,0,0,0,4,0,0,0,First Post,198,Poor not in post,No student,Grateful not in post,-2
0,5236,143.873460648,0,6,22,53,0,First Post,59,Poor not in post,Student,Grateful not in post,-2
1,16,4.51771990741,0,4,4,4,0,First Post,43,Poor not in post,No student,Grateful not in post,4
1,34,48.5083333333,0,6,3,1,0,First Post,70,Poor not in post,No student,Grateful not in post,-1
0,242,287.205497685,28.2187037037,5,25,18,1,Posted Before,23,Poor not in post,No student,Grateful not in post,0
0,0,0,0,3,0,0,0,First Post,48,Poor not in post,No student,Grateful not in post,0
1,101,84.4091666667,0,3,10,15,0,First Post,200,Poor not in post,No student,Grateful not in post,1
0,1109,105.348530093,0,2,22,30,0,First Post,35,Poor not in post,No student,Grateful not in post,4
0,332,66.3112847222,1.83729166667,4,18,28,0,First Post,44,Poor not in post,No student,Grateful not in post,7
0,7837,725.927766204,0,3,120,83,0,First Post,125,Poor not in post,No student,Grateful not in post,0
0,13240,710.152118056,0,3,44,168,0,First Post,49,Poor not in post,No student,Grateful not in post,-1
0,0,0,0,3,0,0,0,First Post,73,Poor not in post,No student,Grateful not in post,2
0,57,171.205023148,0,1,15,1,0,First Post,16,Poor not in post,No student,Grateful not in post,3
1,7383,709.911284722,386.457766204,4,73,134,0,First Post,24,Poor not in post,No student,Grateful not in post,-2
0,0,0,0,7,0,0,0,First Post,93,Poor not in post,Student,Grateful not in post,-9
0,2925,392.303738426,174.685162037,7,45,29,0,First Post,44,Poor not in post,No student,Grateful not in post,5
0,0,0,0,4,0,0,0,First Post,27,Poor not in post,No student,Grateful not in post,2
1,1,114.797708333,114.797708333,29,1,2,2,Posted Before,136,Poor not in post,No student,Grateful not in post,0
1,16,243.25568287,0,11,2,1,0,First Post,10,Poor not in post,No student,Grateful not in post,0
0,31,57.8066782407,0,1,5,1,0,First Post,27,Poor not in post,No student,Grateful not in post,2
0,158,248.955486111,0,1,8,14,0,First Post,321,Poor in post,No student,Grateful not in post,-9
1,336,125.174259259,0.909108796296,2,12,10,0,First Post,10,Poor not in post,No student,Grateful not in post,0
0,165,112.606921296,0,4,7,23,0,First Post,239,Poor not in post,No student,Grateful not in post,-3
0,219,202.109965278,0,9,11,28,0,First Post,98,Poor not in post,No student,Grateful not in post,-2
0,1121,162.063252315,101.60650463,6,11,14,0,First Post,103,Poor not in post,No student,Grateful not in post,12
0,802,820.688229167,0,2,34,15,0,First Post,79,Poor not in post,No student,Grateful not in post,0
0,6,4.50944444444,0,5,3,1,0,First Post,397,Poor not in post,No student,Grateful not in post,-9
0,148,250.840740741,0,18,27,54,0,First Post,87,Poor not in post,No student,Grateful not in post,5
0,1958,221.877638889,0,3,13,19,0,First Post,24,Poor not in post,No student,Grateful not in post,-2
0,16,46.0695717593,0,3,7,2,0,First Post,18,Poor not in post,No student,Grateful not in post,0
0,19,195.784097222,0,3,11,0,0,First Post,86,Poor not in post,No student,Grateful not in post,5
0,0,0,0,2,0,0,0,First Post,97,Poor not in post,No student,Grateful not in post,4
1,2518,638.125300926,0,5,34,69,0,First Post,55,Poor not in post,No student,Grateful not in post,-2
0,6673,1039.64668981,0,2,23,193,0,First Post,92,Poor not in post,No student,Grateful not in post,-2
0,1509,234.415069444,0,15,19,10,0,First Post,107,Poor not in post,No student,Grateful not in post,-7
0,225,566.411238426,0,3,20,24,0,First Post,64,Poor not in post,No student,Grateful not in post,-1
0,63,246.739363426,0,4,9,0,0,First Post,49,Poor not in post,No student,Grateful not in post,1
0,0,0,0,5,0,0,0,First Post,80,Poor not in post,No student,Grateful not in post,4
1,635,296.164305556,0,6,20,13,0,First Post,204,Poor not in post,No student,Grateful not in post,-3
0,1192,479.458854167,0,3,24,30,0,First Post,46,Poor not in post,No student,Grateful not in post,6
0,0,0,0,4,0,0,0,First Post,164,Poor not in post,No student,Grateful not in post,-7
1,44,58.7813425926,0,3,3,2,0,First Post,107,Poor not in post,Student,Grateful in post,5
0,0,0,0,5,0,0,0,First Post,111,Poor not in post,No student,Grateful not in post,-2
0,88,151.006076389,0,21,6,1,0,First Post,37,Poor not in post,No student,Grateful not in post,2
0,874,579.4040625,0,11,28,20,0,First Post,20,Poor not in post,Student,Grateful not in post,10
0,930,125.859444444,0,8,20,0,0,First Post,65,Poor not in post,No student,Grateful not in post,-1
0,304,541.750324074,0,9,17,11,0,First Post,77,Poor not in post,No student,Grateful not in post,-3
1,22768,1009.19209491,185.583425926,2,57,323,0,First Post,48,Poor not in post,No student,Grateful not in post,1
0,3049,1694.4844213,0,10,27,33,0,First Post,178,Poor not in post,No student,Grateful not in post,4
0,66,54.6624768519,0,9,6,1,0,First Post,74,Poor not in post,No student,Grateful not in post,3
0,0,0,0,3,0,0,0,First Post,114,Poor not in post,No student,Grateful not in post,6
